# AEDGE+ characteristic-strain sensitivity curve (lower boundary of the AEDGE+ region), digitised from GW_exclusion_plot.svg
# NOTE: this is AEDGE+ (#5d9ec7), NOT AEDGE. Produced as a by-product of the AEDGE extraction with the identical method.
# Source: GW_exclusion_plot.svg (qsim_visit project root), top-left panel, colour #5d9ec7.
# Shapes: fill path510-2; strokes path511-5 (2-point dashed lead-in, entirely left of the frame, unused after clipping),
#   path512-2 (DASHED, whole band; the fill's lower edge follows it exactly) and path513-1 (SOLID, 0.0100 Hz -> 3.39 Hz,
#   same curve as path512-2 there at ~2x the vertex density; solid - dashed max 0.008 dex).
# Built: path512-2 clipped at the frame edge (f = 1e-6 Hz) for f < 0.0100 Hz, then path513-1 for f >= 0.0100 Hz.
#   Upward spikes near 3e-3 and 6e-3 Hz (presumably broadband response nulls) kept. Left end = frame clip; right end 3.39 Hz = curve end.
# Calibration (top-left panel; svgelements page coords in px, y down):
#   log10(f/Hz) = -6 + (x - 102.2)/28.065 ;  log10(h_c) = -15 - (y - 50.24)/18.258
# Decimation: 300 points uniform in log10 f plus Ramer-Douglas-Peucker vertices at 0.002 dex tolerance, linear in log-log.
#   Max perpendicular deviation from the full polyline: 0.0020 dex. Digitisation accuracy ~0.01 dex.
f_Hz,h_c
9.335718e-04,2.179805e-20
9.817186e-04,2.056635e-20
9.899003e-04,2.036986e-20
1.032349e-03,1.931713e-20
1.085590e-03,1.804299e-20
1.125193e-03,1.713389e-20
1.141576e-03,1.675433e-20
1.200451e-03,1.546725e-20
1.262361e-03,1.415362e-20
1.278887e-03,1.382604e-20
1.327465e-03,1.281178e-20
1.395926e-03,1.155473e-20
1.425452e-03,1.102122e-20
1.467917e-03,1.027077e-20
1.543622e-03,9.031416e-21
1.600050e-03,8.178872e-21
1.623231e-03,7.837341e-21
1.706945e-03,6.730212e-21
1.755396e-03,6.148839e-21
1.794977e-03,5.699307e-21
1.887549e-03,4.761997e-21
1.984895e-03,3.947975e-21
2.016726e-03,3.720633e-21
2.087262e-03,3.248732e-21
2.194907e-03,2.647275e-21
2.308105e-03,2.148307e-21
2.427140e-03,1.746271e-21
2.552314e-03,1.429062e-21
2.648553e-03,1.246112e-21
2.683944e-03,1.189717e-21
2.803725e-03,1.036750e-21
2.822362e-03,1.017712e-21
2.962403e-03,9.108627e-22
2.967919e-03,9.085577e-22
3.026122e-03,8.860037e-22
3.091211e-03,8.823054e-22
3.120983e-03,9.036919e-22
3.157701e-03,9.298141e-22
3.224495e-03,1.153630e-21
3.281941e-03,2.974604e-21
3.310903e-03,4.169945e-21
3.451200e-03,1.103892e-21
3.472749e-03,9.189088e-22
3.565808e-03,7.434165e-22
3.629187e-03,6.924152e-22
3.642252e-03,6.841951e-22
3.779992e-03,6.329415e-22
3.816355e-03,6.236349e-22
4.013174e-03,5.877406e-22
4.094086e-03,5.764301e-22
4.220145e-03,5.614613e-22
4.437789e-03,5.393890e-22
4.666658e-03,5.198362e-22
4.893053e-03,5.022183e-22
4.907331e-03,5.012592e-22
5.160415e-03,4.840214e-22
5.426552e-03,4.678632e-22
5.706414e-03,4.527284e-22
5.942545e-03,4.421842e-22
6.000710e-03,4.400400e-22
6.170290e-03,4.357344e-22
6.304767e-03,4.371856e-22
6.310183e-03,4.378879e-22
6.439928e-03,4.574274e-22
6.616192e-03,7.732621e-22
6.635616e-03,7.028866e-22
6.795383e-03,2.807636e-22
6.977833e-03,2.755874e-22
7.337699e-03,2.659985e-22
7.716124e-03,2.566197e-22
8.114066e-03,2.475972e-22
8.532531e-03,2.388322e-22
8.972577e-03,2.302877e-22
9.435317e-03,2.219664e-22
9.804455e-03,2.158154e-22
9.921922e-03,2.138905e-22
1.043362e-02,2.060051e-22
1.097171e-02,1.983101e-22
1.153756e-02,1.908767e-22
1.213258e-02,1.835560e-22
1.275829e-02,1.765161e-22
1.297442e-02,1.742251e-22
1.341627e-02,1.695630e-22
1.410818e-02,1.627955e-22
1.483578e-02,1.562180e-22
1.560090e-02,1.497768e-22
1.630417e-02,1.443481e-22
1.640548e-02,1.435535e-22
1.725156e-02,1.372636e-22
1.814127e-02,1.312493e-22
1.907687e-02,1.252504e-22
2.006071e-02,1.194164e-22
2.066648e-02,1.160938e-22
2.109530e-02,1.137030e-22
2.218324e-02,1.080547e-22
2.332729e-02,1.026870e-22
2.453034e-02,9.723706e-23
2.579544e-02,9.205587e-23
2.641992e-02,8.968910e-23
2.712578e-02,8.693409e-23
2.852473e-02,8.191210e-23
2.960017e-02,7.840243e-23
2.999583e-02,7.706846e-23
3.154280e-02,7.221896e-23
3.316955e-02,6.767462e-23
3.347944e-02,6.686613e-23
3.488019e-02,6.314898e-23
3.667906e-02,5.886956e-23
3.857070e-02,5.486395e-23
4.055990e-02,5.111735e-23
4.265168e-02,4.764543e-23
4.485135e-02,4.445251e-23
4.716445e-02,4.147356e-23
4.959685e-02,3.886787e-23
5.011728e-02,3.823690e-23
5.215470e-02,3.676944e-23
5.376530e-02,3.547132e-23
5.484446e-02,3.494984e-23
5.752614e-02,3.374929e-23
5.767294e-02,3.371085e-23
6.025403e-02,3.311820e-23
6.064729e-02,3.307993e-23
6.258070e-02,3.292342e-23
6.377504e-02,3.292188e-23
6.587381e-02,3.301890e-23
6.706409e-02,3.314943e-23
6.912765e-02,3.346454e-23
7.052277e-02,3.280155e-23
7.086131e-02,3.267717e-23
7.415982e-02,3.331689e-23
7.579685e-02,3.369143e-23
7.768150e-02,3.339642e-23
7.798445e-02,3.346579e-23
8.200632e-02,3.448845e-23
