# Einstein Telescope (ET) sensitivity, characteristic strain h_c vs frequency
# source: GW_exclusion_plot.svg (qsim_visit project), top-left panel, colour #ffbf00
# shape: stroke outline path517-7 (all 684 raw path vertices; matches lower edge of fill path516-5 exactly)
# calibration (page coords, y down): log10(f/Hz) = -6 + (x - 102.2)/28.065 ; log10(h_c) = -15 - (y - 50.24)/18.258
# decimation: 321 points uniform in log f (linear interp in log-log, exact since path segments are straight),
#   plus raw vertices added until the piecewise-log-log-linear reconstruction is within 0.01 dex of the raw curve
# caveats: curve data begin at f = 1 Hz (h_c ~ 1.0e-16) - the drawn curve stops there; the fill's vertical left edge
#   above that point is just the polygon closure, not data. Upper end f = 1e4 Hz is the plot frame (right clip),
#   so the curve may continue beyond it. Digitisation precision ~0.002 dex (sub-0.05-unit vertex coords).
f_Hz,h_c
158.486,1.24518e-23
163.113,1.25451e-23
167.876,1.26508e-23
172.778,1.27557e-23
177.824,1.28666e-23
183.016,1.29838e-23
188.36,1.3102e-23
193.86,1.32207e-23
199.521,1.33509e-23
205.347,1.34872e-23
211.343,1.36294e-23
217.514,1.37816e-23
223.866,1.3939e-23
230.403,1.40982e-23
237.13,1.42678e-23
244.055,1.44467e-23
251.181,1.46364e-23
258.515,1.48332e-23
266.064,1.50455e-23
273.833,1.52608e-23
281.829,1.54807e-23
290.059,1.57187e-23
298.528,1.59685e-23
307.245,1.62355e-23
316.217,1.65214e-23
325.45,1.68184e-23
334.954,1.71208e-23
344.734,1.74337e-23
354.801,1.77757e-23
365.161,1.81384e-23
375.823,1.85185e-23
386.797,1.89388e-23
398.092,1.93687e-23
409.716,1.98082e-23
421.68,2.02966e-23
433.993,2.07977e-23
446.666,2.13111e-23
459.708,2.18372e-23
473.132,2.23762e-23
486.947,2.29286e-23
501.166,2.35763e-23
515.8,2.42655e-23
530.862,2.49749e-23
546.363,2.57051e-23
562.317,2.64566e-23
578.736,2.723e-23
595.635,2.80302e-23
613.028,2.89587e-23
630.928,2.99179e-23
649.352,3.09089e-23
668.313,3.19328e-23
687.827,3.29905e-23
707.912,3.40833e-23
728.583,3.52905e-23
749.858,3.65657e-23
771.754,3.78869e-23
794.289,3.9256e-23
817.482,4.06745e-23
