# AEDGE characteristic-strain sensitivity curve (lower boundary of the AEDGE region), digitised from GW_exclusion_plot.svg
# Source: GW_exclusion_plot.svg (qsim_visit project root), top-left panel, colour #6685d9.
# Shapes: the AEDGE region has one translucent fill (path506-2) and two #6685d9 strokes plus a 2-point lead-in:
#   path507-1 - 2-point dashed lead-in continuing path508-0 leftwards past the frame edge (clipped at f = 1e-6 Hz here).
#   path508-0 - DASHED curve over the whole band, 1e-6 Hz -> 3.39 Hz (689 segments). The fill's lower edge follows it exactly.
#               Below 0.01 Hz this is the only AEDGE curve (broadband-mode sensitivity, incl. the two upward spikes near
#               3e-3 and 6e-3 Hz, presumably response nulls of the broadband interferometer; kept).
#   path509-9 - SOLID curve from 0.0100 Hz to 3.39 Hz (1091 segments), starting on path508-0 and ending on the same point.
#               It is the same curve as path508-0 over that range but at ~2.7x the vertex density: it resolves the saw-tooth
#               staircase of the resonant-mode envelope, which path508-0 undersamples (in places cuts straight chords across it).
#               Difference solid - dashed: rms 0.016 dex, max 0.09 dex, all attributable to that undersampling.
# Built: path507-1 (reversed, clipped at the frame) + path508-0 for f < 0.0100 Hz, then path509-9 for f >= 0.0100 Hz
#   (joins continuously: the two strokes agree to 1e-3 px at the junction). Band limits: left end is the frame clip
#   (curve continues below 1e-6 Hz); right end at 3.39 Hz is where the plot's author ended the curve (fill closes vertically there).
# Calibration (top-left panel; svgelements page coords in px, y down):
#   log10(f/Hz) = -6 + (x - 102.2)/28.065 ;  log10(h_c) = -15 - (y - 50.24)/18.258
# Decimation: exact polyline vertices (no curve fitting) -> 300 points uniform in log10 f plus the Ramer-Douglas-Peucker
#   vertices at 0.002 dex tolerance (keeps spike tips and staircase corners), linearly interpolated in log-log.
#   Max perpendicular deviation from the full polyline: 0.0017 dex. Digitisation accuracy ~0.01 dex in both axes.
# Caveat: spacing is only roughly uniform (extra points cluster at spikes/steps); linear interpolation in log-log is exact.
f_Hz,h_c
6.904175e-04,3.211887e-20
7.260242e-04,3.060721e-20
7.522831e-04,2.956042e-20
7.634673e-04,2.912262e-20
8.028414e-04,2.767891e-20
8.435440e-04,2.631312e-20
8.442461e-04,2.628914e-20
8.877862e-04,2.488403e-20
9.335718e-04,2.349787e-20
9.817186e-04,2.215967e-20
1.000455e-03,2.166329e-20
1.032349e-03,2.082099e-20
1.085590e-03,1.948105e-20
1.125193e-03,1.852929e-20
1.141576e-03,1.813721e-20
1.200451e-03,1.680752e-20
1.262361e-03,1.547433e-20
1.278887e-03,1.514086e-20
1.327465e-03,1.413638e-20
1.395926e-03,1.288256e-20
1.458858e-03,1.179545e-20
1.467917e-03,1.164261e-20
1.543622e-03,1.046154e-20
1.623231e-03,9.362040e-21
1.706945e-03,8.377435e-21
1.794977e-03,7.516711e-21
1.859927e-03,6.989645e-21
1.887549e-03,6.801373e-21
1.970546e-03,6.310522e-21
1.984895e-03,6.243888e-21
2.086578e-03,5.849704e-21
2.087262e-03,5.848015e-21
2.183694e-03,5.647496e-21
2.194907e-03,5.634498e-21
2.297963e-03,5.595645e-21
2.308105e-03,5.602809e-21
2.404918e-03,5.716357e-21
2.427140e-03,5.766845e-21
2.517026e-03,6.023514e-21
2.552314e-03,6.169575e-21
2.619149e-03,6.495934e-21
2.683944e-03,6.914017e-21
2.740288e-03,7.374705e-21
2.822362e-03,8.263415e-21
2.835399e-03,8.432735e-21
2.931151e-03,1.005552e-20
2.967919e-03,1.091017e-20
3.091211e-03,1.550070e-20
3.120983e-03,1.782792e-20
3.157701e-03,2.068690e-20
3.224495e-03,3.238888e-20
3.281941e-03,7.602056e-20
3.310903e-03,1.038447e-19
3.382117e-03,9.371479e-20
3.400574e-03,8.397650e-20
3.451200e-03,4.399184e-20
3.472749e-03,3.040285e-20
3.547444e-03,1.869297e-20
3.629187e-03,1.325980e-20
3.739854e-03,9.458191e-21
3.816355e-03,7.894105e-21
3.881285e-03,6.925471e-21
4.013174e-03,5.599111e-21
4.070729e-03,5.169812e-21
4.220145e-03,4.383721e-21
4.361251e-03,3.862125e-21
4.437789e-03,3.658014e-21
4.666658e-03,3.225659e-21
4.672833e-03,3.215999e-21
4.808441e-03,3.066113e-21
4.907331e-03,2.992230e-21
5.006327e-03,2.943979e-21
5.151613e-03,2.922900e-21
5.160415e-03,2.924397e-21
5.240801e-03,2.935151e-21
5.363621e-03,2.989800e-21
5.426552e-03,3.040145e-21
5.550945e-03,3.171810e-21
5.706414e-03,3.428978e-21
5.746816e-03,3.507129e-21
6.000710e-03,4.395380e-21
6.007582e-03,4.425223e-21
6.170290e-03,5.532389e-21
6.304767e-03,7.209688e-21
6.310183e-03,7.346107e-21
6.439928e-03,1.098935e-20
6.616192e-03,2.881541e-20
6.635616e-03,2.477638e-20
6.723695e-03,8.507225e-21
6.795383e-03,1.161452e-21
6.977833e-03,1.174993e-21
7.337699e-03,1.201211e-21
7.716124e-03,1.228292e-21
8.114066e-03,1.256295e-21
8.532531e-03,1.285403e-21
8.972577e-03,1.315346e-21
9.435317e-03,1.346642e-21
9.753962e-03,1.367543e-21
9.921922e-03,1.087780e-21
1.001255e-02,9.364192e-22
1.043362e-02,9.535064e-22
1.097171e-02,9.749714e-22
1.153756e-02,9.975868e-22
1.213258e-02,1.020804e-21
1.275829e-02,1.044578e-21
1.287612e-02,1.049053e-21
1.318892e-02,5.490935e-22
1.341627e-02,4.602831e-22
1.350177e-02,4.313635e-22
1.410818e-02,4.371866e-22
1.483578e-02,4.445068e-22
1.560090e-02,4.522095e-22
1.640548e-02,4.605044e-22
1.658643e-02,4.624590e-22
1.700715e-02,3.824972e-22
1.725156e-02,3.842391e-22
1.814127e-02,3.907910e-22
1.907687e-02,3.976834e-22
1.948051e-02,4.007224e-22
1.997464e-02,2.820615e-22
2.006071e-02,2.752015e-22
2.044275e-02,2.463812e-22
2.109530e-02,2.477495e-22
2.218324e-02,2.502750e-22
2.290352e-02,2.520204e-22
2.332729e-02,2.298438e-22
2.344027e-02,2.237345e-22
2.453034e-02,2.253302e-22
2.568199e-02,2.275338e-22
2.579544e-02,2.209573e-22
2.631872e-02,1.808507e-22
2.694303e-02,1.643684e-22
2.712578e-02,1.643684e-22
2.852473e-02,1.649024e-22
2.949503e-02,1.654118e-22
2.999583e-02,1.554806e-22
3.023474e-02,1.512259e-22
3.154280e-02,1.517296e-22
3.234061e-02,1.521206e-22
3.309852e-02,1.288083e-22
