# LIGO (aLIGO design-style) characteristic-strain sensitivity curve, digitised from GW_exclusion_plot.svg
# Source: GW_exclusion_plot.svg (qsim_visit project root), top-left panel; solid #c56e1a stroke path id="path519-3"
#   (shapes.pkl idx 1504). Cross-check: the bottom LIGO-only panel's stroke "path519-3-7-4-1-7" (idx 2054) is an exact
#   translation (+13.507, +926.118) of it, and that panel's frame, tick marks and tick-label glyphs are translated by the
#   same offset, so it gives identical values.
# Calibration (page coords, y down): log10(f/Hz) = -6 + (x - 102.2)/28.065 ; log10(h_c) = -15 - (y - 50.24)/18.258
# Method: the stroke is a 387-vertex polyline in log-log page space, strictly monotonic in f and lying wholly inside the
#   frame (no clipping). All vertices are written as-is (exact; linear interpolation in log-log reproduces the plotted
#   curve). The translucent fill path518-9 (idx 1503) only adds vertical closing edges at 5 Hz / 5 kHz and the frame-top
#   clip, which are not included.
# Caveats: vertex spacing is not uniform in log f (denser where the curve bends). Includes the narrow suspension
#   (bounce-mode) spike at ~9.7 Hz, reaching h_c ~1.7e-19. 5 Hz and 5 kHz are the band limits of the plotted curve.
#   Calibration accuracy ~0.01 plot units -> <0.001 dex in both axes.
f_Hz,h_c
1.120399e+01,5.657119e-22
1.125256e+01,5.535282e-22
1.134797e+01,5.310234e-22
1.154201e+01,4.922461e-22
1.157024e+01,4.875174e-22
1.159529e+01,4.830414e-22
1.164962e+01,4.740088e-22
1.175741e+01,4.570351e-22
1.197767e+01,4.268991e-22
1.242630e+01,3.774035e-22
1.245668e+01,3.745807e-22
1.248452e+01,3.719385e-22
1.254215e+01,3.666707e-22
1.265908e+01,3.565106e-22
1.289623e+01,3.376061e-22
1.337926e+01,3.048038e-22
1.340823e+01,3.028812e-22
1.344101e+01,3.011321e-22
1.350023e+01,2.976003e-22
1.362229e+01,2.907228e-22
1.387264e+01,2.776196e-22
1.438522e+01,2.542467e-22
1.546681e+01,2.162788e-22
1.549597e+01,2.153761e-22
1.553061e+01,2.143851e-22
1.559794e+01,2.125079e-22
1.573019e+01,2.088027e-22
1.599805e+01,2.016715e-22
1.654870e+01,1.885151e-22
1.770627e+01,1.659626e-22
2.050183e+01,1.295148e-22
2.350801e+01,1.058306e-22
2.688174e+01,8.904691e-23
2.693995e+01,8.882752e-23
2.700582e+01,8.860867e-23
2.712479e+01,8.812532e-23
2.737768e+01,8.716650e-23
2.788082e+01,8.536242e-23
2.891099e+01,8.199730e-23
3.109342e+01,7.604217e-23
3.122822e+01,7.572476e-23
3.135704e+01,7.540868e-23
3.162290e+01,7.480453e-23
3.217037e+01,7.359493e-23
3.327534e+01,7.137939e-23
3.334972e+01,7.122644e-23
3.342193e+01,7.111195e-23
3.355980e+01,7.084551e-23
3.385378e+01,7.030807e-23
3.443027e+01,6.931228e-23
3.561286e+01,6.745679e-23
3.569994e+01,6.731225e-23
3.577974e+01,6.719684e-23
3.594488e+01,6.697379e-23
3.628000e+01,6.650138e-23
3.694675e+01,6.558763e-23
3.834398e+01,6.390721e-23
3.842701e+01,6.379763e-23
3.851022e+01,6.371558e-23
3.869067e+01,6.350408e-23
3.978017e+01,6.239685e-23
4.127015e+01,6.102683e-23
4.145197e+01,6.087648e-23
4.164330e+01,6.071998e-23
4.278309e+01,5.981506e-23
4.436388e+01,5.874694e-23
4.445994e+01,5.867138e-23
4.455621e+01,5.862106e-23
4.476187e+01,5.847663e-23
4.516659e+01,5.823255e-23
4.598702e+01,5.776601e-23
4.768619e+01,5.690511e-23
4.778945e+01,5.688070e-23
4.787956e+01,5.683192e-23
4.809049e+01,5.673448e-23
4.849822e+01,5.654616e-23
