# LISA characteristic-strain sensitivity curve, digitised from GW_exclusion_plot.svg
# Source: GW_exclusion_plot.svg (qsim_visit project root), top-left panel, stroke path id="path515-4"
#   (solid #8fb032 outline; the translucent fill path514-5 was not used - its extra edges are the frame clip at the top
#   and vertical closing edges at the band limits).
# Calibration (page coords, y down): log10(f/Hz) = -6 + (x - 102.2)/28.065 ; log10(h_c) = -15 - (y - 50.24)/18.258
# Method: the stroke is a 919-vertex polyline in log-log page space, monotonic in f; linearly interpolated (exact for a
#   polyline) onto 400 points uniform in log10 f, plus the minimum vertex.
# Caveats: curve spans 2e-5 Hz to 1 Hz exactly - these are band limits chosen by the plot's author (curve is still
#   rising steeply at both ends), not a physical end of LISA's sensitivity. Digitisation accuracy ~0.01 dex in both axes.
f_Hz,h_c
2.301718e-03,2.746584e-21
2.364987e-03,2.535467e-21
2.429996e-03,2.351239e-21
2.496791e-03,2.190874e-21
2.565422e-03,2.054094e-21
2.635940e-03,1.934810e-21
2.708396e-03,1.833745e-21
2.782844e-03,1.747955e-21
2.859338e-03,1.675883e-21
2.937935e-03,1.613942e-21
3.018692e-03,1.561875e-21
3.101670e-03,1.518662e-21
3.186928e-03,1.482808e-21
3.274529e-03,1.451389e-21
3.364539e-03,1.425696e-21
3.457023e-03,1.404279e-21
3.552049e-03,1.386633e-21
3.649687e-03,1.371957e-21
3.750008e-03,1.360099e-21
3.853088e-03,1.351397e-21
3.959001e-03,1.344417e-21
4.067825e-03,1.339814e-21
4.179640e-03,1.336852e-21
4.232640e-03,1.335796e-21
4.294530e-03,1.335796e-21
4.412577e-03,1.336170e-21
4.533869e-03,1.338090e-21
4.658495e-03,1.341570e-21
4.786547e-03,1.346362e-21
4.918118e-03,1.352417e-21
5.053306e-03,1.359474e-21
5.192211e-03,1.368191e-21
5.334933e-03,1.376940e-21
5.481579e-03,1.387439e-21
5.632255e-03,1.398545e-21
5.787073e-03,1.410841e-21
5.946147e-03,1.423752e-21
6.109594e-03,1.437643e-21
6.277533e-03,1.452007e-21
6.450088e-03,1.467792e-21
6.627387e-03,1.483824e-21
6.809559e-03,1.500654e-21
6.996739e-03,1.518137e-21
7.189064e-03,1.536679e-21
7.386676e-03,1.555446e-21
7.589719e-03,1.574443e-21
7.798344e-03,1.594516e-21
8.012703e-03,1.616017e-21
8.232954e-03,1.637808e-21
8.459260e-03,1.659893e-21
8.691786e-03,1.682276e-21
8.930705e-03,1.704960e-21
9.176190e-03,1.727950e-21
9.428423e-03,1.751251e-21
9.687590e-03,1.774865e-21
9.953880e-03,1.800723e-21
1.022749e-02,1.827151e-21
1.050862e-02,1.853967e-21
1.079748e-02,1.881176e-21
1.109428e-02,1.908784e-21
1.139924e-02,1.936798e-21
1.171258e-02,1.965223e-21
1.203453e-02,1.994065e-21
1.236533e-02,2.024634e-21
1.270523e-02,2.056766e-21
1.305447e-02,2.089408e-21
1.341330e-02,2.122569e-21
1.378201e-02,2.156255e-21
1.416084e-02,2.190476e-21
1.455009e-02,2.225240e-21
1.495004e-02,2.260556e-21
1.536099e-02,2.299148e-21
1.578323e-02,2.339326e-21
1.621707e-02,2.380206e-21
1.666285e-02,2.421800e-21
1.712087e-02,2.464122e-21
1.759148e-02,2.507183e-21
1.807504e-02,2.550996e-21
1.857188e-02,2.595576e-21
1.908238e-02,2.641731e-21
1.960691e-02,2.692259e-21
2.014586e-02,2.744379e-21
2.069963e-02,2.797628e-21
2.126861e-02,2.853313e-21
2.185324e-02,2.912968e-21
2.245394e-02,2.973870e-21
2.307115e-02,3.036045e-21
2.370532e-02,3.101791e-21
2.435693e-02,3.171171e-21
2.502645e-02,3.244991e-21
2.571437e-02,3.322317e-21
2.642120e-02,3.402887e-21
2.714746e-02,3.489632e-21
2.789369e-02,3.582017e-21
2.866042e-02,3.679355e-21
2.944823e-02,3.782746e-21
3.025770e-02,3.893684e-21
3.108942e-02,4.014148e-21
3.194400e-02,4.143523e-21
3.282207e-02,4.280728e-21
3.372427e-02,4.432624e-21
3.465128e-02,4.599927e-21
3.560377e-02,4.785140e-21
3.658244e-02,4.980599e-21
3.758801e-02,5.205237e-21
3.862122e-02,5.451893e-21
3.968283e-02,5.734794e-21
4.077362e-02,6.049680e-21
4.189440e-02,6.415173e-21
4.304598e-02,6.829399e-21
4.422922e-02,7.321260e-21
4.544499e-02,7.889452e-21
4.669417e-02,8.579119e-21
4.797769e-02,9.389995e-21
4.929649e-02,1.040252e-20
5.065154e-02,1.161341e-20
5.204384e-02,1.311945e-20
5.347441e-02,1.499243e-20
5.494431e-02,1.722794e-20
5.645460e-02,1.976227e-20
5.800642e-02,2.221252e-20
5.960088e-02,2.388929e-20
6.123918e-02,2.415919e-20
6.292251e-02,2.311184e-20
6.465211e-02,2.141927e-20
6.642926e-02,1.964317e-20
6.825525e-02,1.812807e-20
7.013144e-02,1.692187e-20
7.205919e-02,1.603257e-20
7.403994e-02,1.540895e-20
7.607514e-02,1.503029e-20
7.816628e-02,1.485459e-20
8.031489e-02,1.486354e-20
8.252257e-02,1.504710e-20
8.479094e-02,1.539449e-20
8.712165e-02,1.590064e-20
8.951643e-02,1.657207e-20
9.197704e-02,1.742937e-20
9.450529e-02,1.847963e-20
9.710303e-02,1.972399e-20
9.977218e-02,2.118043e-20
1.025147e-01,2.287201e-20
1.053326e-01,2.477497e-20
1.082280e-01,2.684695e-20
1.112029e-01,2.902921e-20
1.142596e-01,3.114867e-20
1.174004e-01,3.305032e-20
1.206275e-01,3.447474e-20
1.239432e-01,3.531049e-20
1.273502e-01,3.552988e-20
1.308507e-01,3.526379e-20
1.344475e-01,3.469984e-20
1.381432e-01,3.407391e-20
1.419405e-01,3.356875e-20
1.458421e-01,3.336555e-20
1.498510e-01,3.360873e-20
1.539700e-01,3.452515e-20
1.582023e-01,3.639795e-20
1.625510e-01,3.971632e-20
1.670191e-01,4.536477e-20
1.716101e-01,5.449883e-20
1.763273e-01,6.694117e-20
1.811741e-01,7.555650e-20
1.861542e-01,7.165302e-20
1.912712e-01,6.321682e-20
1.965288e-01,5.771483e-20
2.019310e-01,5.591841e-20
2.074816e-01,5.718193e-20
2.131848e-01,6.111166e-20
2.190448e-01,6.758719e-20
2.250658e-01,7.637101e-20
2.312524e-01,8.628186e-20
2.376090e-01,9.434921e-20
2.441404e-01,9.696472e-20
2.508513e-01,9.368585e-20
2.577466e-01,8.793639e-20
2.648315e-01,8.332598e-20
2.721111e-01,8.226815e-20
2.795909e-01,8.731278e-20
2.872762e-01,1.037027e-19
2.951728e-01,1.381686e-19
3.032864e-01,1.553493e-19
3.116231e-01,1.271646e-19
3.201889e-01,1.120581e-19
3.289902e-01,1.136116e-19
3.380334e-01,1.273360e-19
3.473252e-01,1.505986e-19
3.568724e-01,1.727403e-19
3.666821e-01,1.744772e-19
3.767614e-01,1.583425e-19
3.871177e-01,1.447257e-19
3.977587e-01,1.470994e-19
4.086922e-01,1.834320e-19
4.199263e-01,2.560013e-19
4.314691e-01,2.060957e-19
4.433292e-01,1.774179e-19
4.555154e-01,1.932115e-19
4.680365e-01,2.374276e-19
4.809018e-01,2.713691e-19
4.941207e-01,2.475297e-19
5.077030e-01,2.170758e-19
5.216586e-01,2.300786e-19
5.359979e-01,3.435718e-19
5.507313e-01,3.020927e-19
5.658697e-01,2.540264e-19
5.814242e-01,2.990798e-19
5.974062e-01,3.737698e-19
6.138276e-01,3.447755e-19
6.307004e-01,2.959460e-19
6.480370e-01,3.603576e-19
6.658501e-01,4.633052e-19
6.841528e-01,3.391028e-19
7.029587e-01,4.059799e-19
7.222814e-01,4.944057e-19
7.421354e-01,4.087700e-19
7.625350e-01,4.143281e-19
7.834954e-01,6.099387e-19
8.050320e-01,4.317828e-19
8.271605e-01,5.487438e-19
8.498974e-01,5.934592e-19
8.732592e-01,4.842795e-19
8.972631e-01,7.308691e-19
9.219269e-01,5.354376e-19
9.472687e-01,6.694303e-19
9.733070e-01,6.917371e-19
1.000061e+00,6.074281e-19
