# AION-km characteristic-strain sensitivity curve (solid purple #a5609d)
# Source: GW_exclusion_plot.svg, top-left panel, stroke path id 'path521-7' (fill companion 'path520-0').
#   Identified as AION-km from its label (outlined glyphs path536-7/537-6/538-9 read 'AION-km', sitting on this line)
#   and from the fifth panel, which shows only this purple curve, labelled AION-km.
#   The other purple curve (dashed, 'path523-6') is the GGN (gravity-gradient-noise) variant labelled 'GGN'; not included here.
# Calibration (svgelements page units, y down): log10(f/Hz) = -6 + (x-102.2)/28.065 ; log10(h_c) = -15 - (y-50.24)/18.258
# Caveats: endpoints are where the line meets the plot frame (top edge at low f, right edge near 1e4 Hz), not physical ends of the curve.
#   The source is a polyline of 154 vertices; resampled to 301 points uniform in log f by linear interpolation in log-log
#   (exact for the polyline; max deviation 3.2e-03 dex). Accuracy is set by the tick-mark calibration above.
f_Hz,h_c
6.044841e-01,1.110489e-21
6.518841e-01,1.153291e-21
7.030009e-01,1.197742e-21
7.581260e-01,1.243907e-21
8.175737e-01,1.291851e-21
8.816829e-01,1.341643e-21
9.508191e-01,1.393163e-21
1.025377e+00,1.446599e-21
1.105781e+00,1.502085e-21
1.192489e+00,1.559699e-21
1.285997e+00,1.619523e-21
1.386837e+00,1.681641e-21
1.495585e+00,1.746144e-21
1.612859e+00,1.813132e-21
1.739330e+00,1.882690e-21
1.875718e+00,1.954916e-21
2.022800e+00,2.029914e-21
2.181416e+00,2.107788e-21
2.352470e+00,2.188651e-21
2.536936e+00,2.273194e-21
2.735868e+00,2.361347e-21
2.950398e+00,2.452918e-21
3.181750e+00,2.548040e-21
3.431244e+00,2.646850e-21
3.700302e+00,2.749493e-21
3.990457e+00,2.856115e-21
4.303365e+00,2.967165e-21
4.640809e+00,3.082743e-21
5.004713e+00,3.202823e-21
5.397152e+00,3.327580e-21
5.820364e+00,3.457197e-21
6.276762e+00,3.591863e-21
6.768948e+00,3.731728e-21
7.299729e+00,3.872701e-21
7.872129e+00,4.018998e-21
8.489414e+00,4.170823e-21
9.155103e+00,4.328382e-21
9.872991e+00,4.491894e-21
1.064717e+01,4.661583e-21
1.148206e+01,4.837682e-21
1.238241e+01,5.023377e-21
1.335337e+01,5.216612e-21
1.440046e+01,5.417281e-21
1.552966e+01,5.625668e-21
1.674740e+01,5.842072e-21
1.806063e+01,6.066800e-21
