# Recovery of a sinusoidal phase imprinted by a light shift, one run per injected frequency
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0), Fig. 5a
# Sources: data_analysis/data/intermediate_data/signal_fitting_results_by_frequency.csv (final iteration), and data_analysis/data/precomputed_true_signals/signal_extraction_*.npz, reduced as 'data_analysis/figures/Figure 5a.ipynb' does
# Columns: injected_hz, the run's nominal frequency; curve, 'fit' for the likelihood of a sinusoid fitted to the differential phase
#   (logL above its minimum) or 'true' for the periodogram of the light-shift drive; f_hz, trial frequency; value, normalised to unit peak
injected_hz,curve,f_hz,value
0.0001,fit,7.52168797594095e-05,0.0464003
0.0001,fit,7.526350300968438e-05,0.0453757
0.0001,fit,7.531015515942271e-05,0.0443503
0.0001,fit,7.535683622653798e-05,0.043325
0.0001,fit,7.540354622895436e-05,0.0423004
0.0001,fit,7.545028518460756e-05,0.0412773
0.0001,fit,7.549705311144426e-05,0.0402564
0.0001,fit,7.554385002742246e-05,0.0392386
0.0001,fit,7.559067595051079e-05,0.0382246
0.0001,fit,7.563753089868947e-05,0.0372151
0.0001,fit,7.568441488994974e-05,0.0362111
0.0001,fit,7.573132794229411e-05,0.0352133
0.0001,fit,7.577827007373585e-05,0.0342225
0.0001,fit,7.582524130229981e-05,0.0332395
0.0001,fit,7.587224164602184e-05,0.0322652
0.0001,fit,7.591927112294918e-05,0.0313004
0.0001,fit,7.596632975113975e-05,0.0303459
0.0001,fit,7.601341754866314e-05,0.0294027
0.0001,fit,7.606053453360015e-05,0.0284715
0.0001,fit,7.610768072404231e-05,0.0275533
0.0001,fit,7.615485613809284e-05,0.0266488
0.0001,fit,7.620206079386601e-05,0.025759
0.0001,fit,7.624929470948748e-05,0.0248848
0.0001,fit,7.629655790309371e-05,0.024027
0.0001,fit,7.63438503928328e-05,0.0231866
0.0001,fit,7.639117219686401e-05,0.0223644
0.0001,fit,7.643852333335799e-05,0.0215613
0.0001,fit,7.648590382049616e-05,0.0207783
0.0001,fit,7.653331367647173e-05,0.0200162
0.0001,fit,7.658075291948896e-05,0.019276
0.0001,fit,7.662822156776362e-05,0.0185585
0.0001,fit,7.667571963952227e-05,0.0178648
0.0001,fit,7.672324715300323e-05,0.0171957
0.0001,fit,7.677080412645614e-05,0.0165521
0.0001,fit,7.681839057814147e-05,0.0159349
0.0001,fit,7.686600652633148e-05,0.0153452
0.0001,fit,7.691365198930964e-05,0.0147837
0.0001,fit,7.696132698537084e-05,0.0142515
0.0001,fit,7.700903153282088e-05,0.0137495
0.0001,fit,7.705676564997738e-05,0.0132785
0.0001,fit,7.710452935516914e-05,0.0128394
0.0001,fit,7.715232266673649e-05,0.0124333
0.0001,fit,7.720014560303067e-05,0.012061
0.0001,fit,7.724799818241472e-05,0.0117234
0.0001,fit,7.729588042326297e-05,0.0114215
0.0001,fit,7.734379234396123e-05,0.0111561
0.0001,fit,7.739173396290629e-05,0.0109281
0.0001,fit,7.743970529850679e-05,0.0107384
0.0001,fit,7.748770636918276e-05,0.0105879
0.0001,fit,7.753573719336523e-05,0.0104774
0.0001,fit,7.758379778949708e-05,0.0104079
0.0001,fit,7.763188817603248e-05,0.0103802
0.0001,fit,7.768000837143718e-05,0.0103951
0.0001,fit,7.772815839418796e-05,0.0104535
0.0001,fit,7.777633826277345e-05,0.0105561
0.0001,fit,7.782454799569361e-05,0.0107039
0.0001,fit,7.787278761146008e-05,0.0108976
0.0001,fit,7.792105712859541e-05,0.0111379
0.0001,fit,7.796935656563415e-05,0.0114257
0.0001,fit,7.80176859411222e-05,0.0117617
0.0001,fit,7.806604527361708e-05,0.0121467
0.0001,fit,7.811443458168736e-05,0.0125813
0.0001,fit,7.816285388391358e-05,0.0130663
0.0001,fit,7.821130319888764e-05,0.0136024
0.0001,fit,7.825978254521313e-05,0.0141902
0.0001,fit,7.83082919415047e-05,0.0148303
0.0001,fit,7.8356831406389e-05,0.0155235
0.0001,fit,7.840540095850422e-05,0.0162702
0.0001,fit,7.845400061649967e-05,0.0170711
0.0001,fit,7.850263039903664e-05,0.0179267
0.0001,fit,7.855129032478787e-05,0.0188375
0.0001,fit,7.859998041243781e-05,0.0198041
0.0001,fit,7.864870068068202e-05,0.0208269
