# Low laser noise (LLN): injected common phase noise std. dev. 0 turns
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0)
# Source file: data_analysis/data/intermediate_data/excitation_fraction_corrected_with_phi_hln-lnl-repeat_63132_63134_63133_63135_63150_63149_63148_63151_63164_63163_63162_63331_63333_63332_0.csv
# Its header:
#   Excitation fraction dataset with debananaization applied and debug outputs included
#   Dataset description: hln-lnl-repeat
#   RIDs = 63132, 63134, 63133, 63135, 63150, 63149, 63148, 63151, 63164, 63163, 63162, 63331, 63333, 63332
#   atom_threshold_forward: 750000.0
#   atom_threshold_backward: 400000.0
#   Git version = 1ff632a-dirty
#   Scanned parameter = Std. dev. of both phase steps in turns
#   scanned parameter value = 0.0
#   phi units: radians
# Columns: shot index; t_s, seconds since the first shot of either run; phi_rad, applied clock laser phase step;
#   excitation_bottom / excitation_top, excitation fraction of the lower ('forward') and upper ('backward') interferometer
shot,t_s,phi_rad,excitation_bottom,excitation_top
128,822.166,0.317333,0.914022,0.901555
129,828.509,2.982926,0.805910,0.818811
130,831.671,2.665594,0.558795,0.586422
131,834.867,1.332797,0.234612,0.197421
132,838.062,1.586663,0.125062,0.108144
133,841.258,1.967462,0.096439,0.100023
134,844.452,6.029319,0.680815,0.719474
135,857.201,5.585054,0.341694,0.389255
136,863.590,4.252257,0.436660,0.390130
137,866.770,1.903996,0.079783,0.094265
138,876.323,4.569589,0.201228,0.159723
139,904.903,0.951998,0.562755,0.527137
140,908.082,5.648520,0.426884,0.471017
141,911.262,4.823455,0.112504,0.097687
142,917.620,2.157862,0.179167,0.210571
143,920.799,0.190400,0.920110,0.916958
144,923.994,3.617592,0.861248,0.831483
145,927.205,3.427192,0.897704,0.874110
146,930.384,5.521587,0.349437,0.387259
147,933.579,3.871458,0.707471,0.667849
148,943.117,5.204254,0.122528,0.153375
149,949.491,4.506123,0.243598,0.210601
150,955.898,1.078931,0.474478,0.413285
151,959.093,0.380799,0.906129,0.891924
152,962.272,5.394654,0.265685,0.295805
153,965.435,1.840529,0.075434,0.088726
154,968.630,4.188790,0.455688,0.422216
155,975.021,0.507732,0.844839,0.814181
156,981.362,0.888531,0.687789,0.676309
157,987.722,2.348261,0.202700,0.243108
158,1000.422,2.411728,0.336523,0.377010
159,1006.795,5.711987,0.490991,0.515367
160,1009.991,5.077321,0.108867,0.116903
161,1016.398,4.379190,0.281177,0.230188
162,1029.116,1.205864,0.333744,0.287971
163,1032.293,6.219719,0.865434,0.867929
164,1035.525,0.571199,0.840771,0.835173
165,1041.928,1.777063,0.081225,0.087008
166,1048.284,5.013855,0.078930,0.101334
167,1054.595,5.458121,0.244845,0.278775
168,1067.311,4.886922,0.104318,0.097673
169,1076.880,4.633056,0.165345,0.162447
170,1080.075,1.713596,0.092351,0.103850
171,1092.776,4.759989,0.113963,0.095572
172,1095.955,5.775453,0.534026,0.580461
173,1099.182,6.283185,0.883696,0.905651
174,1102.346,3.998391,0.563308,0.505017
175,1115.046,2.919460,0.759692,0.765244
176,1118.241,2.538661,0.471623,0.519621
177,1124.648,5.902386,0.534428,0.574956
178,1127.842,2.729060,0.588344,0.637544
179,1131.069,2.284795,0.310312,0.336947
180,1146.933,0.444266,0.882462,0.842477
181,1153.292,4.950388,0.079597,0.073525
182,1159.714,0.253866,0.925352,0.914202
183,1182.032,0.825065,0.672691,0.633337
184,1185.199,2.602127,0.502089,0.556123
185,1188.390,4.125324,0.486514,0.434880
186,1194.765,3.807991,0.805568,0.747256
187,1197.943,0.634665,0.748750,0.690921
188,1201.108,4.696522,0.141277,0.134027
189,1207.501,1.142397,0.329562,0.306104
190,1223.457,0.126933,0.866761,0.891119
191,1226.619,3.681058,0.831112,0.811805
192,1229.815,1.650129,0.095498,0.094523
193,1236.190,1.015464,0.529284,0.474874
194,1239.369,5.140788,0.135738,0.156245
195,1242.547,3.236792,0.882859,0.895914
196,1252.116,0.063467,0.878879,0.889136
197,1255.312,0.698132,0.797598,0.759979
198,1264.866,2.855993,0.723923,0.733234
199,1268.060,5.965853,0.701819,0.715503
200,1274.451,5.394654,0.229949,0.244052
201,1277.647,0.761598,0.771164,0.750576
202,1280.825,0.951998,0.586282,0.552289
203,1284.020,4.823455,0.105501,0.107279
204,1287.215,2.665594,0.591946,0.611131
205,1300.012,3.807991,0.782728,0.735525
206,1303.191,5.775453,0.513377,0.532146
207,1315.908,2.348261,0.354610,0.371242
208,1319.071,0.380799,0.908524,0.880481
209,1322.267,3.617592,0.874427,0.846331
210,1325.446,3.427192,0.893903,0.875347
211,1328.641,0.063467,0.889975,0.904940
212,1331.803,2.475194,0.393789,0.435386
213,1338.146,1.459730,0.195997,0.166374
214,1341.341,1.205864,0.345765,0.294989
215,1370.019,4.759989,0.102596,0.096203
216,1376.377,0.190400,0.915858,0.906155
217,1379.572,4.315723,0.327305,0.281236
218,1385.946,1.650129,0.124864,0.112182
219,1398.616,0.126933,0.913059,0.923112
220,1404.941,5.140788,0.117812,0.140371
221,1411.299,1.840529,0.087868,0.098316
222,1417.674,0.317333,0.908756,0.893349
223,1420.852,4.188790,0.485946,0.437527
224,1440.054,0.253866,0.916740,0.911407
225,1443.234,1.777063,0.093478,0.095442
226,1449.656,3.934924,0.644469,0.596889
227,1452.900,0.000000,0.862008,0.865372
228,1456.078,3.300259,0.901360,0.895853
229,1459.257,5.331188,0.175990,0.196182
230,1468.746,5.711987,0.402618,0.449625
231,1471.926,2.919460,0.764578,0.790842
232,1475.105,0.698132,0.680282,0.637946
233,1487.838,5.648520,0.409160,0.439585
234,1497.344,3.046393,0.876156,0.879384
235,1503.751,2.982926,0.814453,0.829699
236,1510.156,4.886922,0.089243,0.098493
237,1513.351,1.332797,0.277747,0.241241
238,1516.546,6.156252,0.776993,0.794463
239,1519.741,4.506123,0.226584,0.202369
240,1526.083,4.633056,0.135822,0.126495
241,1593.885,4.379190,0.340318,0.289456
242,1603.406,4.061857,0.555269,0.509764
243,1606.568,1.142397,0.367716,0.336480
244,1616.074,3.109859,0.872367,0.883658
